action,county,page,candidate,columnIndex,currentValue,correctedValue,exclude,reason,reviewer,rowText,sourceWarnings,correctionKey
update,Coahoma,3,pinkins,6,2,26,,"Grid-cell OCR reads 26 for the same page and column; text-row OCR read 2, creating the exact 24-vote Pinkins delta.",codex,,,
update,Warren,2,trump,8,100,64,,Visual review of Warren page 2 shows Trump row value 64 between 58 and 100; OCR skipped the 64 and shifted later cells.,codex,,,
update,Warren,2,trump,9,219,100,,Visual review of Warren page 2 shows this Trump column is 100 after inserted 64.,codex,,,
update,Warren,2,trump,10,97,218,,Visual review of Warren page 2 shows this Trump column is 218; OCR had shifted 97 into this position.,codex,,,
add,Warren,2,trump,11,,97,,Visual review of Warren page 2 shows final Trump value 97 after 218.,codex,,,
update,Quitman,3,pinkins,2,9,40,,Visual review of Quitman page 3 shows Pinkins column 2 is 40; OCR read the 4 as punctuation and kept 9.,codex,,,
update,Quitman,3,wicker,2,129,195,,Visual review of Quitman page 3 shows Wicker column 2 is 195; OCR read it as 129.,codex,,,
update,Tallahatchie,2,trump,6,229,226,,Visual review of Tallahatchie page 2 shows Trump Enid value is 226; OCR read it as 229.,codex,,,
update,Adams,2,pinkins,6,184,51,,Visual review of Adams page 2 shows Pinkins column 6 is 51; OCR skipped this cell and shifted later values.,codex,,,
update,Adams,2,pinkins,7,73,184,,Visual review of Adams page 2 shows Pinkins column 7 is 184 after the inserted 51.,codex,,,
update,Adams,2,pinkins,8,349,375,,Visual review of Adams page 2 shows Pinkins column 8 is 375; OCR read it as 73 before shifting.,codex,,,
update,Adams,2,pinkins,9,204,349,,Visual review of Adams page 2 shows Pinkins column 9 is 349.,codex,,,
update,Adams,2,pinkins,10,440,204,,Visual review of Adams page 2 shows Pinkins column 10 is 204.,codex,,,
add,Adams,2,pinkins,11,,440,,Visual review of Adams page 2 shows final Pinkins value 440.,codex,,,
update,Adams,3,pinkins,6,562,662,,Visual review of Adams page 3 shows Pinkins column 6 is 662; OCR read it as 562.,codex,,,
update,Adams,3,trump,4,204,71,,Visual review of Adams page 3 shows Trump column 4 is 71; OCR skipped this cell and shifted later values.,codex,,,
update,Adams,3,trump,5,31,204,,Visual review of Adams page 3 shows Trump column 5 is 204.,codex,,,
update,Adams,3,trump,6,344,31,,Visual review of Adams page 3 shows Trump column 6 is 31.,codex,,,
update,Adams,3,trump,7,326,344,,Visual review of Adams page 3 shows Trump column 7 is 344.,codex,,,
update,Adams,3,trump,8,5081,326,,Visual review of Adams page 3 shows Trump column 8 is 326; the OCR had placed the official total in this column.,codex,,,
update,Adams,2,wicker,4,5,509,,Visual review of Adams page 2 shows Wicker column 4 is 509; OCR read it as 5.,codex,,,
update,Adams,2,wicker,8,30,37,,Visual review of Adams page 2 shows Wicker column 8 is 37; OCR shifted later cells left.,codex,,,
update,Adams,2,wicker,9,132,30,,Visual review of Adams page 2 shows Wicker column 9 is 30.,codex,,,
update,Adams,2,wicker,10,428,132,,Visual review of Adams page 2 shows Wicker column 10 is 132.,codex,,,
add,Adams,2,wicker,11,,428,,Visual review of Adams page 2 shows final Wicker value 428.,codex,,,
update,Adams,3,wicker,6,7,47,,Visual review of Adams page 3 shows Wicker column 6 is 47; OCR read it as 7.,codex,,,
update,Newton,2,pinkins,11,501,591,,Visual review of Newton page 2 shows Pinkins final value is 591; OCR read it as 501.,codex,,,
update,Newton,3,trump,1,9,490,,Visual review of Newton page 3 shows Trump first value is 490; OCR read only the trailing 9.,codex,,,
update,Newton,3,trump,5,283,413,,Visual review of Newton page 3 shows Trump column 5 is 413; OCR skipped this value.,codex,,,
update,Newton,3,trump,6,6641,283,,Visual review of Newton page 3 shows Trump column 6 is 283; OCR placed the official total in this column.,codex,,,
update,Simpson,2,pinkins,5,53,63,,Visual review of Simpson page 2 shows Pinkins Dry Creek value is 63; OCR read it as 53.,codex,,,
update,Simpson,2,pinkins,6,13,183,,Visual review of Simpson page 2 shows Pinkins Fork Church value is 183; OCR read it as 13.,codex,,,
update,Simpson,3,trump,9,19,199,,Visual review of Simpson page 3 shows Trump Shivers value is 199; OCR read it as 19.,codex,,,
update,Simpson,2,wicker,5,4,552,,Visual review of Simpson page 2 shows Wicker Dry Creek value is 552; OCR read it as 4.,codex,,,
