state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url,local_unit,notes
NH,2016,Belknap County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,13517,19315,2213,35045,https://web.archive.org/web/20240720085645id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-summary-and-belknap.xls,Belknap County,"Other includes Green, American Delta, Libertarian, and 487 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Carroll County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,12987,14635,1989,29611,https://web.archive.org/web/20240720085657id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-carroll.xls,Carroll County,"Other includes Green, American Delta, Libertarian, and 514 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Cheshire County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,22064,16876,2955,41895,https://web.archive.org/web/20240720085703id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-cheshire.xls,Cheshire County,"Other includes Green, American Delta, Libertarian, and 774 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Coos County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,6563,7952,1112,15627,https://web.archive.org/web/20240720085707id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-coos.xls,Coos County,"Other includes Green, American Delta, Libertarian, and 343 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Grafton County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,28510,19010,3671,51191,https://web.archive.org/web/20240720085717id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-grafton.xls,Grafton County,"Other includes Green, American Delta, Libertarian, and 1076 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Hillsborough County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,99589,100013,14555,214157,https://web.archive.org/web/20240720085721id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-hillsborough.xls,Hillsborough County,"Other includes Green, American Delta, Libertarian, and 3411 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Merrimack County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,40198,37674,5776,83648,https://web.archive.org/web/20240720085726id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-merrimack.xls,Merrimack County,"Other includes Green, American Delta, Libertarian, and 1584 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Rockingham County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,79994,90447,10993,181434,https://web.archive.org/web/20240720085729id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-rockingham.xls,Rockingham County,"Other includes Green, American Delta, Libertarian, and 2266 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Strafford County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,34894,29072,5034,69000,https://web.archive.org/web/20240720085733id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-strafford-and-sullivan.xls,Strafford County,"Other includes Green, American Delta, Libertarian, and 1020 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
NH,2016,Sullivan County,nh-2016-official-historical-presidential-workbooks,county,officialArchivedNewHampshire2016PresidentWorkbooks,10210,10796,1677,22683,https://web.archive.org/web/20240720085733id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-president-strafford-and-sullivan.xls,Sullivan County,"Other includes Green, American Delta, Libertarian, and 554 official county write-in votes from https://web.archive.org/web/20240720085740id_/https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/2016-ge-presidential-write-ins-summary.xls."
