state,election_year,jurisdiction_name,jurisdiction_code,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
CO,2016,Adams County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,96558,80082,17037,193677,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Alamosa County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3189,3046,704,6939,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Arapahoe County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,159885,117053,26110,303048,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Archuleta County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2500,4264,575,7339,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Baca County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,283,1753,117,2153,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Bent County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,590,1188,149,1927,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Boulder County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,132334,41396,14415,188145,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Broomfield County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,19731,14367,3592,37690,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Chaffee County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,4888,5391,971,11250,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Cheyenne County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,132,925,45,1102,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Clear Creek County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2729,2575,562,5866,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Conejos County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1771,1914,337,4022,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Costilla County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1125,588,135,1848,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Crowley County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,339,1079,109,1527,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Custer County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,797,2061,208,3066,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Delta County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,4087,11655,1048,16790,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Denver County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,244551,62690,24611,331852,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Dolores County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,242,944,69,1255,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Douglas County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,68657,102573,16270,187500,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Eagle County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,14099,8990,2134,25223,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,El Paso County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,108010,179228,31730,318968,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Elbert County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3134,11705,1141,15980,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Fremont County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,5297,15122,1554,21973,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Garfield County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,11271,13132,2067,26470,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Gilpin County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1634,1566,376,3576,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Grand County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3358,4494,736,8588,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Gunnison County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,5128,3289,995,9412,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Hinsdale County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,197,339,53,589,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Huerfano County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1633,1883,267,3783,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Jackson County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,171,629,61,861,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Jefferson County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,160776,138177,29930,328883,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Kiowa County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,91,728,36,855,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Kit Carson County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,536,2967,199,3702,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,La Plata County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,15525,12587,3038,31150,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Lake County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1616,1270,313,3199,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Larimer County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,93113,83430,19438,195981,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Las Animas County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2650,3710,433,6793,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Lincoln County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,409,1892,135,2436,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Logan County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1851,7282,589,9722,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Mesa County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,21729,49779,6146,77654,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Mineral County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,237,344,71,652,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Moffat County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,874,5305,346,6525,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Montezuma County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3973,7853,1032,12858,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Montrose County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,5466,14382,1338,21186,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Morgan County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3151,8145,664,11960,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Otero County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2943,4928,581,8452,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Ouray County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1697,1351,262,3310,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Park County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3421,6135,861,10417,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Phillips County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,436,1791,105,2332,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Pitkin County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,7333,2550,640,10523,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Prowers County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1186,3531,299,5016,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Pueblo County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,35875,36265,6506,78646,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Rio Blanco County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,436,2791,223,3450,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Rio Grande County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2001,3085,448,5534,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Routt County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,7600,5230,1156,13986,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Saguache County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,1417,1147,271,2835,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,San Juan County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,265,215,26,506,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,San Miguel County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2975,1033,321,4329,https://historicalelectiondata.coloradosos.gov/contest/4436
